year,situacion,value
2018-02-01,muy_mala,35.6
2018-03-01,muy_mala,40.9
2018-04-01,muy_mala,42.2
2018-05-01,muy_mala,39.9
2018-06-01,muy_mala,32.4
2018-07-01,muy_mala,30.1
2018-09-01,muy_mala,28.4
2018-10-01,muy_mala,36
1979-06-01,regular,43.6
1979-07-01,regular,43.8
1979-09-01,regular,43.4
1979-10-01,regular,44
1979-11-01,regular,42.3
1979-12-01,regular,40.5
1980-01-01,regular,41
1980-02-01,regular,40.6
1980-03-01,regular,39.6
1980-04-01,regular,43.8
1980-05-01,regular,39.4
1980-06-01,regular,42.4
1980-09-01,regular,36.9
1980-10-01,regular,39.5
1980-11-01,regular,41
1980-12-01,regular,37.6
1981-01-01,regular,36.3
1981-02-01,regular,41
1981-03-01,regular,46.5
1981-04-01,regular,39
1981-05-01,regular,36.3
1981-07-01,regular,38
1981-09-01,regular,35.6
1981-10-01,regular,37.5
1981-11-01,regular,34
1982-01-01,regular,39.6
1982-02-01,regular,42
1982-03-01,regular,36.2
1982-04-01,regular,45
1982-06-01,regular,43.5
1982-09-01,regular,37.5
1982-10-01,regular,38.8
1983-10-01,regular,47.2
1984-01-01,regular,44
1984-04-01,regular,48
1984-07-01,regular,46.5
1985-05-01,regular,46
1985-10-01,regular,50
1986-02-01,regular,43
1986-12-01,regular,46
1987-03-01,regular,45
1987-11-01,regular,47
1988-01-01,regular,45
1988-07-01,regular,45
1989-01-01,regular,46
1989-05-01,regular,49
1989-07-01,regular,39
1989-11-01,regular,42
1990-07-01,regular,37
1991-05-01,regular,40
1991-10-01,regular,49
1992-04-01,regular,46
1992-06-01,regular,38
1992-09-01,regular,29
1992-10-01,regular,31.6
1992-11-01,regular,45.4
1992-12-01,regular,29
1993-02-01,regular,36.4
1993-03-01,regular,41.7
1993-04-01,regular,32.6
1993-05-01,regular,33.7
1993-06-01,regular,44.1
1993-07-01,regular,43.2
1993-09-01,regular,39
1993-10-01,regular,34.5
1993-11-01,regular,29.6
1993-12-01,regular,42.4
1994-01-01,regular,34.5
1994-02-01,regular,27.4
1994-03-01,regular,35.9
1994-04-01,regular,29.1
1994-05-01,regular,27.9
1994-07-01,regular,30.8
1994-09-01,regular,32.3
1994-10-01,regular,34.7
1994-11-01,regular,40.9
1994-12-01,regular,36.1
1995-01-01,regular,26.2
1995-02-01,regular,25.8
1995-03-01,regular,22.6
1995-04-01,regular,32.9
1995-05-01,regular,40.3
1995-06-01,regular,22.4
1995-07-01,regular,29.2
1995-09-01,regular,27.5
1995-10-01,regular,26.4
1995-11-01,regular,30.5
1995-12-01,regular,35.7
1996-01-01,regular,28.4
1996-02-01,regular,46.7
1996-03-01,regular,45.7
1996-04-01,regular,46.1
1996-05-01,regular,44.7
1996-06-01,regular,44.8
1996-07-01,regular,51.9
1996-09-01,regular,54
1996-10-01,regular,51.1
1996-11-01,regular,45.7
1996-12-01,regular,45.2
1997-01-01,regular,47.7
1997-02-01,regular,48.6
1997-03-01,regular,50.3
1997-04-01,regular,48.6
1997-05-01,regular,49.8
1997-06-01,regular,50.5
1997-07-01,regular,46.9
1997-09-01,regular,46
1997-10-01,regular,46.1
1997-11-01,regular,50.9
1997-12-01,regular,46.3
1998-01-01,regular,47.4
1998-02-01,regular,47.2
1998-03-01,regular,46.9
1998-04-01,regular,49.4
1998-05-01,regular,42.7
1998-06-01,regular,44.1
1998-07-01,regular,47.2
1998-09-01,regular,47.7
1998-10-01,regular,46.2
1998-11-01,regular,47.5
1998-12-01,regular,43
1999-01-01,regular,43.2
1999-02-01,regular,43
1999-03-01,regular,45.1
1999-04-01,regular,46.6
1999-05-01,regular,42.7
1999-06-01,regular,45.9
1999-07-01,regular,42.8
1999-09-01,regular,42.9
1999-10-01,regular,44.1
1999-11-01,regular,39.6
1999-12-01,regular,40.3
2000-01-01,regular,43.6
2000-02-01,regular,41.7
2000-03-01,regular,42.9
2000-04-01,regular,40.7
2000-05-01,regular,41.7
2000-06-01,regular,39.1
2000-07-01,regular,39.1
2000-09-01,regular,43.8
2000-10-01,regular,46.1
2000-11-01,regular,47.6
2000-12-01,regular,43.5
2001-01-01,regular,44.2
2001-02-01,regular,45.7
2001-03-01,regular,40.5
2001-04-01,regular,43.3
2001-05-01,regular,44.8
2001-06-01,regular,41.5
2001-07-01,regular,46.1
2001-09-01,regular,43
2001-10-01,regular,46.1
2001-11-01,regular,40.9
2001-12-01,regular,45.9
2002-01-01,regular,44.2
2002-02-01,regular,39.7
2002-03-01,regular,43.1
2002-04-01,regular,41.7
2002-05-01,regular,45.3
2002-06-01,regular,43.4
2002-07-01,regular,45
2002-09-01,regular,46.9
2002-10-01,regular,44.2
2002-11-01,regular,50.4
2002-12-01,regular,41.1
2003-01-01,regular,44
2003-02-01,regular,42.9
2003-03-01,regular,32.4
2003-04-01,regular,42.7
2003-05-01,regular,42.3
2003-06-01,regular,41.2
2003-07-01,regular,39.7
2003-09-01,regular,45.4
2003-10-01,regular,37.9
2003-11-01,regular,44.7
2003-12-01,regular,40.2
2004-01-01,regular,41.3
2004-02-01,regular,40.6
2004-03-01,regular,42.8
2004-04-01,regular,43
2004-05-01,regular,42.6
2004-06-01,regular,44.5
2004-07-01,regular,46.1
2004-09-01,regular,47.3
2004-10-01,regular,47.4
2004-11-01,regular,45.6
2004-12-01,regular,45.7
2005-01-01,regular,46.5
2005-02-01,regular,46.3
2005-03-01,regular,47.5
2005-04-01,regular,42.3
2005-05-01,regular,41
2005-06-01,regular,42.5
2005-07-01,regular,42.5
2005-09-01,regular,44
2005-10-01,regular,40.7
2005-11-01,regular,42.9
2005-12-01,regular,42.7
2006-01-01,regular,41.8
2006-02-01,regular,41.9
2006-03-01,regular,43.4
2006-04-01,regular,39.9
2006-05-01,regular,42.4
2006-06-01,regular,40.4
2006-07-01,regular,38.6
2006-09-01,regular,41.7
2006-10-01,regular,37.7
2006-11-01,regular,40.2
2006-12-01,regular,41.4
2007-01-01,regular,38.8
2007-02-01,regular,39.1
2007-03-01,regular,36.3
2007-04-01,regular,40
2007-05-01,regular,40.1
2007-06-01,regular,40.9
2007-07-01,regular,41.8
2007-09-01,regular,39.7
2007-10-01,regular,38.7
2007-11-01,regular,41.1
2007-12-01,regular,40.2
2008-01-01,regular,40.6
2008-02-01,regular,40.2
2008-03-01,regular,42.1
2008-04-01,regular,42.3
2008-05-01,regular,39.6
2008-06-01,regular,41.9
2008-07-01,regular,39.4
2008-09-01,regular,40.1
2008-10-01,regular,38.5
2008-11-01,regular,41.8
2008-12-01,regular,38.1
2009-01-01,regular,39.4
2009-02-01,regular,34.9
2009-03-01,regular,37.1
2009-04-01,regular,37.7
2009-05-01,regular,36
2009-06-01,regular,34.8
2009-07-01,regular,35.9
2009-09-01,regular,33.2
2009-10-01,regular,30.5
2009-11-01,regular,29.5
2009-12-01,regular,31.8
2010-01-01,regular,33.8
2010-02-01,regular,28.6
2010-03-01,regular,28.3
2010-04-01,regular,27.2
2010-05-01,regular,28.4
2010-06-01,regular,23.2
2010-07-01,regular,26.3
2010-09-01,regular,27.9
2010-10-01,regular,26.6
2010-11-01,regular,27
2010-12-01,regular,24.4
2011-01-01,regular,24.4
2011-02-01,regular,26.8
2011-03-01,regular,24
2011-04-01,regular,25.6
2011-05-01,regular,25.5
2011-06-01,regular,23.5
2011-07-01,regular,24.4
2011-09-01,regular,21.6
2011-10-01,regular,19.8
2011-11-01,regular,24.9
2011-12-01,regular,27.2
2012-01-01,regular,30.8
2012-02-01,regular,29.9
2012-03-01,regular,30.1
2012-04-01,regular,27.7
2012-05-01,regular,24.9
2012-06-01,regular,23.4
2012-07-01,regular,22.6
2012-09-01,regular,19
2012-10-01,regular,16.8
2012-11-01,regular,20.2
2012-12-01,regular,17.5
2013-01-01,regular,17.1
2013-02-01,regular,10.1
2013-03-01,regular,11.9
2013-04-01,regular,13.4
2013-05-01,regular,14.3
2013-06-01,regular,14.4
2013-07-01,regular,13.8
2013-09-01,regular,14.1
2013-10-01,regular,13.4
2013-11-01,regular,13.8
2013-12-01,regular,13.8
2014-01-01,regular,14.4
2014-02-01,regular,13.1
2014-03-01,regular,15.3
2014-04-01,regular,15.9
2014-05-01,regular,15.5
2014-06-01,regular,18.3
2014-07-01,regular,17
2014-09-01,regular,15.4
2014-10-01,regular,14.4
2014-11-01,regular,9.4
2014-12-01,regular,12
2015-01-01,regular,16
2015-02-01,regular,18.3
2015-03-01,regular,17.5
2015-04-01,regular,20.9
2015-05-01,regular,17.7
2015-06-01,regular,21.9
2015-07-01,regular,26.1
2015-09-01,regular,21.4
2015-10-01,regular,23
2015-11-01,regular,24.1
2015-12-01,regular,27.5
2016-01-01,regular,23.2
2016-02-01,regular,18.2
2016-03-01,regular,15.7
2016-04-01,regular,14.9
2016-05-01,regular,13.7
2016-06-01,regular,15.4
2016-07-01,regular,18.3
2016-09-01,regular,9.9
2016-10-01,regular,9.6
2016-11-01,regular,19.6
2016-12-01,regular,25.1
2017-01-01,regular,25.7
2017-02-01,regular,23.6
2017-03-01,regular,22.4
2017-04-01,regular,24
2017-05-01,regular,21.1
2017-06-01,regular,22.4
2017-07-01,regular,22.9
2017-09-01,regular,23.1
2017-10-01,regular,17.9
2017-11-01,regular,18.4
2017-12-01,regular,21
2018-01-01,regular,23.5
2018-02-01,regular,22.4
2018-03-01,regular,20.1
2018-04-01,regular,18.9
2018-05-01,regular,17.9
2018-06-01,regular,23
2018-07-01,regular,25.6
2018-09-01,regular,28.7
2018-10-01,regular,20.1
1979-06-01,ns_nc,24.9
1979-07-01,ns_nc,24.7
1979-09-01,ns_nc,20.1
1979-10-01,ns_nc,21.6
1979-11-01,ns_nc,25.3
1979-12-01,ns_nc,23.7
1980-01-01,ns_nc,28
1980-02-01,ns_nc,22.7
1980-03-01,ns_nc,16
1980-04-01,ns_nc,20.8
1980-05-01,ns_nc,16.9
1980-06-01,ns_nc,18
1980-09-01,ns_nc,22.2
1980-10-01,ns_nc,23.1
1980-11-01,ns_nc,21
1980-12-01,ns_nc,21.7
1981-01-01,ns_nc,16.3
1981-02-01,ns_nc,19.2
1981-03-01,ns_nc,19.6
1981-04-01,ns_nc,22
1981-05-01,ns_nc,22.7
1981-07-01,ns_nc,26
1981-09-01,ns_nc,22.6
1981-10-01,ns_nc,24.5
1981-11-01,ns_nc,21
1982-01-01,ns_nc,19.4
1982-02-01,ns_nc,19
1982-03-01,ns_nc,21
1982-04-01,ns_nc,21
1982-06-01,ns_nc,21.4
1982-09-01,ns_nc,21.2
1982-10-01,ns_nc,19.5
1983-10-01,ns_nc,10.4
1984-01-01,ns_nc,9
1984-04-01,ns_nc,9
1984-07-01,ns_nc,9.3
1985-05-01,ns_nc,10
1985-10-01,ns_nc,7
1986-02-01,ns_nc,11
1986-12-01,ns_nc,15
1987-03-01,ns_nc,8
1987-11-01,ns_nc,8
1988-01-01,ns_nc,10
1988-07-01,ns_nc,9
1989-01-01,ns_nc,8
1989-05-01,ns_nc,9
1989-07-01,ns_nc,15
1989-11-01,ns_nc,13
1990-07-01,ns_nc,14
1991-05-01,ns_nc,14
1991-10-01,ns_nc,7
1992-04-01,ns_nc,7
1992-06-01,ns_nc,11
1992-09-01,ns_nc,13
1992-10-01,ns_nc,7.6
1992-11-01,ns_nc,5.2
1992-12-01,ns_nc,8
1993-02-01,ns_nc,4.9
1993-03-01,ns_nc,3.7
1993-04-01,ns_nc,6.8
1993-05-01,ns_nc,6.4
1993-06-01,ns_nc,7.7
1993-07-01,ns_nc,6.2
1993-09-01,ns_nc,6.3
1993-10-01,ns_nc,5.8
1993-11-01,ns_nc,4.5
1993-12-01,ns_nc,3.5
1994-01-01,ns_nc,5.5
1994-02-01,ns_nc,6.1
1994-03-01,ns_nc,5.2
1994-04-01,ns_nc,5.9
1994-05-01,ns_nc,3.6
1994-07-01,ns_nc,7.5
1994-09-01,ns_nc,11.4
1994-10-01,ns_nc,6.1
1994-11-01,ns_nc,5.1
1994-12-01,ns_nc,5.1
1995-01-01,ns_nc,6.9
1995-02-01,ns_nc,6.3
1995-03-01,ns_nc,7.8
1995-04-01,ns_nc,5.6
1995-05-01,ns_nc,7.6
1995-06-01,ns_nc,5.4
1995-07-01,ns_nc,4.4
1995-09-01,ns_nc,6.2
1995-10-01,ns_nc,5.1
1995-11-01,ns_nc,4.7
1995-12-01,ns_nc,4.8
1996-01-01,ns_nc,4
1996-02-01,ns_nc,4.3
1996-03-01,ns_nc,9.5
1996-04-01,ns_nc,7.3
1996-05-01,ns_nc,13
1996-06-01,ns_nc,11.4
1996-07-01,ns_nc,5
1996-09-01,ns_nc,5
1996-10-01,ns_nc,4.4
1996-11-01,ns_nc,10.5
1996-12-01,ns_nc,8
1997-01-01,ns_nc,8.6
1997-02-01,ns_nc,7
1997-03-01,ns_nc,4.8
1997-04-01,ns_nc,8.8
1997-05-01,ns_nc,5.9
1997-06-01,ns_nc,6.4
1997-07-01,ns_nc,4.3
1997-09-01,ns_nc,9.2
1997-10-01,ns_nc,8.5
1997-11-01,ns_nc,3.7
1997-12-01,ns_nc,7.7
1998-01-01,ns_nc,6.9
1998-02-01,ns_nc,5.8
1998-03-01,ns_nc,7.2
1998-04-01,ns_nc,5.7
1998-05-01,ns_nc,8.7
1998-06-01,ns_nc,10.3
1998-07-01,ns_nc,9.6
1998-09-01,ns_nc,8.6
1998-10-01,ns_nc,7.6
1998-11-01,ns_nc,5.1
1998-12-01,ns_nc,8.8
1999-01-01,ns_nc,8.5
1999-02-01,ns_nc,10.1
1999-03-01,ns_nc,7.2
1999-04-01,ns_nc,9.2
1999-05-01,ns_nc,6.9
1999-06-01,ns_nc,6.9
1999-07-01,ns_nc,11
1999-09-01,ns_nc,9.5
1999-10-01,ns_nc,9.9
1999-11-01,ns_nc,10
1999-12-01,ns_nc,8.8
2000-01-01,ns_nc,4.7
2000-02-01,ns_nc,10.5
2000-03-01,ns_nc,3.2
2000-04-01,ns_nc,5.5
2000-05-01,ns_nc,3.3
2000-06-01,ns_nc,9.2
2000-07-01,ns_nc,10.4
2000-09-01,ns_nc,7.6
2000-10-01,ns_nc,6
2000-11-01,ns_nc,4.5
2000-12-01,ns_nc,6.8
2001-01-01,ns_nc,7.5
2001-02-01,ns_nc,7.8
2001-03-01,ns_nc,11.6
2001-04-01,ns_nc,9.8
2001-05-01,ns_nc,8.3
2001-06-01,ns_nc,12
2001-07-01,ns_nc,6.8
2001-09-01,ns_nc,7.7
2001-10-01,ns_nc,7.6
2001-11-01,ns_nc,8.6
2001-12-01,ns_nc,6.7
2002-01-01,ns_nc,8.4
2002-02-01,ns_nc,9.7
2002-03-01,ns_nc,8.7
2002-04-01,ns_nc,8.7
2002-05-01,ns_nc,7.7
2002-06-01,ns_nc,7.4
2002-07-01,ns_nc,6.8
2002-09-01,ns_nc,6.6
2002-10-01,ns_nc,8.7
2002-11-01,ns_nc,6.6
2002-12-01,ns_nc,5.8
2003-01-01,ns_nc,6.7
2003-02-01,ns_nc,6
2003-03-01,ns_nc,7.6
2003-04-01,ns_nc,5.2
2003-05-01,ns_nc,6.5
2003-06-01,ns_nc,7.2
2003-07-01,ns_nc,4.8
2003-09-01,ns_nc,5.7
2003-10-01,ns_nc,8.2
2003-11-01,ns_nc,3.7
2003-12-01,ns_nc,6.6
2004-01-01,ns_nc,6.4
2004-02-01,ns_nc,7.3
2004-03-01,ns_nc,11.2
2004-04-01,ns_nc,7.9
2004-05-01,ns_nc,8.6
2004-06-01,ns_nc,7.7
2004-07-01,ns_nc,5.5
2004-09-01,ns_nc,7.7
2004-10-01,ns_nc,5.1
2004-11-01,ns_nc,7.1
2004-12-01,ns_nc,7.2
2005-01-01,ns_nc,4.3
2005-02-01,ns_nc,7.4
2005-03-01,ns_nc,7.3
2005-04-01,ns_nc,7
2005-05-01,ns_nc,7.7
2005-06-01,ns_nc,7.8
2005-07-01,ns_nc,7
2005-09-01,ns_nc,7.9
2005-10-01,ns_nc,8.4
2005-11-01,ns_nc,6.4
2005-12-01,ns_nc,6.7
2006-01-01,ns_nc,5.9
2006-02-01,ns_nc,6.8
2006-03-01,ns_nc,6.8
2006-04-01,ns_nc,5.8
2006-05-01,ns_nc,6.9
2006-06-01,ns_nc,7.3
2006-07-01,ns_nc,5.8
2006-09-01,ns_nc,7.4
2006-10-01,ns_nc,6.8
2006-11-01,ns_nc,6.9
2006-12-01,ns_nc,7.5
2007-01-01,ns_nc,6.2
2007-02-01,ns_nc,6.5
2007-03-01,ns_nc,6.4
2007-04-01,ns_nc,5.7
2007-05-01,ns_nc,5.7
2007-06-01,ns_nc,5.7
2007-07-01,ns_nc,5
2007-09-01,ns_nc,5.6
2007-10-01,ns_nc,5.9
2007-11-01,ns_nc,6.1
2007-12-01,ns_nc,6
2008-01-01,ns_nc,6.7
2008-02-01,ns_nc,6.9
2008-03-01,ns_nc,7.3
2008-04-01,ns_nc,5.7
2008-05-01,ns_nc,5.7
2008-06-01,ns_nc,6.1
2008-07-01,ns_nc,6.6
2008-09-01,ns_nc,6.2
2008-10-01,ns_nc,6.4
2008-11-01,ns_nc,4.6
2008-12-01,ns_nc,7
2009-01-01,ns_nc,6.4
2009-02-01,ns_nc,5.9
2009-03-01,ns_nc,5.9
2009-04-01,ns_nc,3.9
2009-05-01,ns_nc,6.5
2009-06-01,ns_nc,6.1
2009-07-01,ns_nc,6.1
2009-09-01,ns_nc,5.9
2009-10-01,ns_nc,4.9
2009-11-01,ns_nc,4
2009-12-01,ns_nc,5.3
2010-01-01,ns_nc,5.5
2010-02-01,ns_nc,4.9
2010-03-01,ns_nc,3.9
2010-04-01,ns_nc,4.1
2010-05-01,ns_nc,3.9
2010-06-01,ns_nc,3.8
2010-07-01,ns_nc,4.4
2010-09-01,ns_nc,4.8
2010-10-01,ns_nc,4.2
2010-11-01,ns_nc,4
2010-12-01,ns_nc,4.6
2011-01-01,ns_nc,3.6
2011-02-01,ns_nc,4.6
2011-03-01,ns_nc,4
2011-04-01,ns_nc,3.7
2011-05-01,ns_nc,3.7
2011-06-01,ns_nc,3.9
2011-07-01,ns_nc,3.6
2011-09-01,ns_nc,4.4
2011-10-01,ns_nc,3.7
2011-11-01,ns_nc,4.1
2011-12-01,ns_nc,5.8
2012-01-01,ns_nc,7.1
2012-02-01,ns_nc,6.4
2012-03-01,ns_nc,4.7
2012-04-01,ns_nc,4.5
2012-05-01,ns_nc,4
2012-06-01,ns_nc,4.7
2012-07-01,ns_nc,3.4
2012-09-01,ns_nc,3.8
2012-10-01,ns_nc,2.8
2012-11-01,ns_nc,2.3
2012-12-01,ns_nc,2.9
2013-01-01,ns_nc,2.6
2013-02-01,ns_nc,2.5
2013-03-01,ns_nc,2.2
2013-04-01,ns_nc,1.7
2013-05-01,ns_nc,2.5
2013-06-01,ns_nc,2.6
2013-07-01,ns_nc,2.1
2013-09-01,ns_nc,3
2013-10-01,ns_nc,2.6
2013-11-01,ns_nc,2.5
2013-12-01,ns_nc,2.8
2014-01-01,ns_nc,1.6
2014-02-01,ns_nc,2.3
2014-03-01,ns_nc,2.8
2014-04-01,ns_nc,2
2014-05-01,ns_nc,2.5
2014-06-01,ns_nc,2.9
2014-07-01,ns_nc,2.1
2014-09-01,ns_nc,2.3
2014-10-01,ns_nc,2.4
2014-11-01,ns_nc,1.6
2014-12-01,ns_nc,1.9
2015-01-01,ns_nc,2.5
2015-02-01,ns_nc,2.4
2015-03-01,ns_nc,2.6
2015-04-01,ns_nc,2.3
2015-05-01,ns_nc,2.3
2015-06-01,ns_nc,2.9
2015-07-01,ns_nc,2.5
2015-09-01,ns_nc,3.5
2015-10-01,ns_nc,2.6
2015-11-01,ns_nc,3.3
2015-12-01,ns_nc,3.3
2016-01-01,ns_nc,2.8
2016-02-01,ns_nc,2.6
2016-03-01,ns_nc,2.3
2016-04-01,ns_nc,1.5
2016-05-01,ns_nc,1.6
2016-06-01,ns_nc,2.3
2016-07-01,ns_nc,2.1
2016-09-01,ns_nc,1.5
2016-10-01,ns_nc,1.3
2016-11-01,ns_nc,1.7
2016-12-01,ns_nc,2.7
2017-01-01,ns_nc,2.5
2017-02-01,ns_nc,2.9
2017-03-01,ns_nc,2.8
2017-04-01,ns_nc,2.2
2017-05-01,ns_nc,2.8
2017-06-01,ns_nc,2.6
2017-07-01,ns_nc,2
2017-09-01,ns_nc,3
2017-10-01,ns_nc,2.1
2017-11-01,ns_nc,2.3
2017-12-01,ns_nc,2.1
2018-01-01,ns_nc,2.5
2018-02-01,ns_nc,3.2
2018-03-01,ns_nc,1.9
2018-04-01,ns_nc,1.8
2018-05-01,ns_nc,2.6
2018-06-01,ns_nc,4.8
2018-07-01,ns_nc,4.2
2018-09-01,ns_nc,2.6
2018-10-01,ns_nc,2.7
